bloque,Vj,rh0,TA,RH_A,Tmr,Icl,M,D0,X0,T0_ref,T0_calc,dT0,Tj_ref,Tj_calc,dTj,Pj_ref,Pj_calc,dPj
base,2.0,0.9,40.0,0.5,50.0,0.6,87.0,0.127,1.259,27.58,27.67059326171875,0.0905932617187517,35.48,34.173113146868644,-1.3068868531313527,26.33,26.421453926429926,0.09145392642992789
base,2.0,0.95,40.0,0.5,50.0,0.6,87.0,0.127,1.259,26.96,27.053213119506836,0.09321311950683508,35.25,33.88137654124604,-1.3686234587539587,26.87,26.635360943219446,-0.23463905678055497
base,2.0,1.0,40.0,0.5,50.0,0.6,87.0,0.127,1.259,26.38,26.466045379638672,0.08604537963867287,35.04,33.603828713877775,-1.4361712861222244,27.03,26.838864468743974,-0.19113553125602678
base,1.5,0.9,40.0,0.5,50.0,0.6,87.0,0.127,1.259,26.73,27.753677368164062,1.023677368164062,35.17,32.907153753533215,-2.2628462464667862,25.88,26.21105638551143,0.331056385511431
base,1.5,0.95,40.0,0.5,50.0,0.6,87.0,0.127,1.259,26.12,27.13329315185547,1.0132931518554678,24.95,32.547781598675265,7.597781598675265,26.04,26.47218804140187,0.43218804140187217
base,1.5,1.0,40.0,0.5,50.0,0.6,87.0,0.127,1.259,25.55,26.5432071685791,0.9932071685791009,24.74,32.20604847569982,7.466048475699825,26.2,26.72050259518375,0.5205025951837499
base,1.0,0.9,40.0,0.5,50.0,0.6,87.0,0.127,1.259,22.57,27.86731719970703,5.297317199707031,33.66,29.675506726746423,-3.984493273253573,24.35,25.670229893491527,1.3202298934915255
base,1.0,0.95,40.0,0.5,50.0,0.6,87.0,0.127,1.259,22.03,27.242727279663086,5.212727279663085,33.34,29.143915731316845,-4.196084268683158,24.58,26.05173580073952,1.4717358007395234
base,1.0,1.0,40.0,0.5,50.0,0.6,87.0,0.127,1.259,21.51,26.648693084716797,5.138693084716795,33.16,28.638581135180956,-4.52141886481904,27.71,26.414398327419143,-1.2956016725808581
base,0.5,0.9,40.0,0.5,50.0,0.6,87.0,0.127,1.259,13.7,28.046789169311523,14.346789169311524,30.05,22.48033033805392,-7.5696696619460795,21.73,24.61801524561022,2.8880152456102195
base,0.5,0.95,40.0,0.5,50.0,0.6,87.0,0.127,1.259,13.27,27.415504455566406,14.145504455566407,29.75,21.555085661569866,-8.194914338430134,21.95,25.26900072796913,3.3190007279691294
base,0.5,1.0,40.0,0.5,50.0,0.6,87.0,0.127,1.259,12.87,26.81537628173828,13.945376281738282,29.46,20.675515835903603,-8.784484164096398,22.15,25.887850208309327,3.737850208309329
icl_mod,2.0,0.9,40.0,0.5,50.0,0.3,87.0,0.127,1.259,32.42,27.02617645263672,-5.393823547363283,37.24,38.52290626807679,1.2829062680767862,29.59,27.261440030779823,-2.3285599692201764
icl_mod,2.0,0.95,40.0,0.5,50.0,0.3,87.0,0.127,1.259,31.75,26.432571411132812,-5.3174285888671875,37.0,38.455332716515315,1.455332716515315,29.78,27.314485148756155,-2.465514851243846
icl_mod,2.0,1.0,40.0,0.5,50.0,0.3,87.0,0.127,1.259,31.11,25.867462158203125,-5.242537841796874,36.76,38.39097976449054,1.6309797644905402,29.97,27.365002101815428,-2.604997898184571
icl_mod,1.5,0.9,40.0,0.5,50.0,0.3,87.0,0.127,1.259,31.0,27.05510139465332,-3.9448986053466797,36.72,36.9633494548199,0.24334945481989934,28.61,26.840937980256463,-1.7690620197435365
icl_mod,1.5,0.95,40.0,0.5,50.0,0.3,87.0,0.127,1.259,30.28,26.460466384887695,-3.819533615112306,36.46,36.823859616374406,0.36385961637440545,28.82,26.950108819090545,-1.8698911809094554
icl_mod,1.5,1.0,40.0,0.5,50.0,0.3,87.0,0.127,1.259,29.66,25.89432716369629,-3.765672836303711,36.24,36.691045744230095,0.45104574423009325,28.99,27.054054755170064,-1.9359452448299344
icl_mod,1.0,0.9,40.0,0.5,50.0,0.3,87.0,0.127,1.259,27.42,27.092952728271484,-0.32704727172851733,35.42,33.73141143150118,-1.6885885684988224,26.61,25.982779911304164,-0.6272200886958359
icl_mod,1.0,0.95,40.0,0.5,50.0,0.3,87.0,0.127,1.259,26.82,26.496944427490234,-0.3230555725097659,35.2,33.441927438893984,-1.7580725611060188,26.78,26.208452479572447,-0.5715475204275542
icl_mod,1.0,1.0,40.0,0.5,50.0,0.3,87.0,0.127,1.259,26.25,25.92951774597168,-0.3204822540283203,35.0,33.16632183228161,-1.8336781677183893,26.94,26.423305896900246,-0.5166941030997556
icl_mod,0.5,0.9,40.0,0.5,50.0,0.3,87.0,0.127,1.259,18.94,27.149085998535156,8.209085998535155,32.33,27.104622078900785,-5.225377921099213,23.0,24.26722645086578,1.2672264508657811
icl_mod,0.5,0.95,40.0,0.5,50.0,0.3,87.0,0.127,1.259,18.47,26.55101776123047,8.08101776123047,32.16,26.504424835486688,-5.6555751645133086,23.14,24.732388493431117,1.592388493431116
icl_mod,0.5,1.0,40.0,0.5,50.0,0.3,87.0,0.127,1.259,18.02,25.98170280456543,7.96170280456543,32.0,25.93302132379625,-6.06697867620375,23.27,25.175234953563134,1.9052349535631343
m_mod,2.0,0.9,40.0,0.5,50.0,0.3,174.0,0.152,1.1219,6.69,27.02617645263672,20.336176452636717,25.71,27.03389764563088,1.323897645630879,18.42,24.106614861091405,5.686614861091403
m_mod,2.0,0.95,40.0,0.5,50.0,0.3,174.0,0.152,1.1219,6.39,26.432571411132812,20.042571411132812,25.58,26.440729069352695,0.860729069352697,18.51,24.572251140100697,6.062251140100695
m_mod,2.0,1.0,40.0,0.5,50.0,0.3,174.0,0.152,1.1219,6.1,25.867462158203125,19.767462158203124,25.46,25.875831294265268,0.4158312942652671,18.6,25.015694890379507,6.4156948903795055
